Season,market,Team_Name,wins,losses,ties
2016,Abilene Christian University,Wildcats,13,16,0
2015,Abilene Christian University,Wildcats,13,18,0
2014,Abilene Christian University,Wildcats,10,21,0
2013,Abilene Christian University,Wildcats,11,20,0
2012,Abilene Christian University,Wildcats,12,14,0
2011,Abilene Christian University,Wildcats,12,16,0
2010,Abilene Christian University,Wildcats,9,17,0
2009,Abilene Christian University,Wildcats,8,19,0
2008,Abilene Christian University,Wildcats,10,16,0
2007,Abilene Christian University,Wildcats,20,9,0
2006,Abilene Christian University,Wildcats,10,16,0
2005,Abilene Christian University,Wildcats,8,19,0
2004,Abilene Christian University,Wildcats,8,19,0
2003,Abilene Christian University,Wildcats,12,15,0
2002,Abilene Christian University,Wildcats,13,14,0
2001,Abilene Christian University,Wildcats,6,20,0
2000,Abilene Christian University,Wildcats,6,20,0
1999,Abilene Christian University,Wildcats,12,14,0
1998,Abilene Christian University,Wildcats,21,8,0
1997,Abilene Christian University,Wildcats,22,6,0
1996,Abilene Christian University,Wildcats,15,12,0
1995,Abilene Christian University,Wildcats,13,14,0
1994,Abilene Christian University,Wildcats,7,19,0
1993,Abilene Christian University,Wildcats,14,15,0
1992,Abilene Christian University,Wildcats,10,18,0
1991,Abilene Christian University,Wildcats,17,12,0
1990,Abilene Christian University,Wildcats,0,26,0
1989,Abilene Christian University,Wildcats,3,24,0
1988,Abilene Christian University,Wildcats,6,21,0
1987,Abilene Christian University,Wildcats,17,10,0
1986,Abilene Christian University,Wildcats,18,8,0
1985,Abilene Christian University,Wildcats,23,7,0
1984,Abilene Christian University,Wildcats,18,10,0
1983,Abilene Christian University,Wildcats,14,15,0
1982,Abilene Christian University,Wildcats,14,14,0
1981,Abilene Christian University,Wildcats,9,17,0
1972,Abilene Christian University,Wildcats,6,20,0
1971,Abilene Christian University,Wildcats,17,8,0
1970,Abilene Christian University,Wildcats,15,9,0
2016,Alabama A&M University,Bulldogs,2,27,0
2015,Alabama A&M University,Bulldogs,11,18,0
2014,Alabama A&M University,Bulldogs,9,20,0
2013,Alabama A&M University,Bulldogs,14,16,0
2012,Alabama A&M University,Bulldogs,11,20,0
2011,Alabama A&M University,Bulldogs,7,21,0
2010,Alabama A&M University,Bulldogs,13,15,0
2009,Alabama A&M University,Bulldogs,11,16,0
2008,Alabama A&M University,Bulldogs,8,19,0
2007,Alabama A&M University,Bulldogs,14,15,0
2006,Alabama A&M University,Bulldogs,10,20,0
2005,Alabama A&M University,Bulldogs,13,13,0
2004,Alabama A&M University,Bulldogs,18,14,0
2003,Alabama A&M University,Bulldogs,13,17,0
2002,Alabama A&M University,Bulldogs,8,19,0
2001,Alabama A&M University,Bulldogs,19,10,0
2000,Alabama A&M University,Bulldogs,17,11,0
1999,Alabama A&M University,Bulldogs,18,10,0
1998,Alabama A&M University,Bulldogs,10,17,0
1997,Alabama A&M University,Bulldogs,18,9,0
1996,Alabama A&M University,Bulldogs,24,6,0
1995,Alabama A&M University,Bulldogs,28,3,0
1994,Alabama A&M University,Bulldogs,29,3,0
1993,Alabama A&M University,Bulldogs,27,5,0
1992,Alabama A&M University,Bulldogs,28,3,0
1991,Alabama A&M University,Bulldogs,15,15,0
1990,Alabama A&M University,Bulldogs,16,14,0
1989,Alabama A&M University,Bulldogs,18,9,0
1988,Alabama A&M University,Bulldogs,26,6,0
1987,Alabama A&M University,Bulldogs,29,3,0
1986,Alabama A&M University,Bulldogs,23,7,0
1985,Alabama A&M University,Bulldogs,23,9,0
1984,Alabama A&M University,Bulldogs,21,10,0
1983,Alabama A&M University,Bulldogs,21,8,0
1982,Alabama A&M University,Bulldogs,18,9,0
1981,Alabama A&M University,Bulldogs,10,15,0
1980,Alabama A&M University,Bulldogs,16,11,0
1979,Alabama A&M University,Bulldogs,9,18,0
1978,Alabama A&M University,Bulldogs,10,17,0
1977,Alabama A&M University,Bulldogs,9,13,0
1976,Alabama A&M University,Bulldogs,17,8,0
1975,Alabama A&M University,Bulldogs,18,10,0
1974,Alabama A&M University,Bulldogs,18,11,0
1973,Alabama A&M University,Bulldogs,7,16,0
2016,Alabama State University,Hornets,8,23,0
2015,Alabama State University,Hornets,14,17,0
2014,Alabama State University,Hornets,19,10,0
2013,Alabama State University,Hornets,19,13,0
2012,Alabama State University,Hornets,10,22,0
2011,Alabama State University,Hornets,12,19,0
2010,Alabama State University,Hornets,17,18,0
2009,Alabama State University,Hornets,16,15,0
2008,Alabama State University,Hornets,22,10,0
2007,Alabama State University,Hornets,20,11,0
2006,Alabama State University,Hornets,10,20,0
2005,Alabama State University,Hornets,12,18,0
2004,Alabama State University,Hornets,15,15,0
2003,Alabama State University,Hornets,16,15,0
2002,Alabama State University,Hornets,14,15,0
2001,Alabama State University,Hornets,19,13,0
2000,Alabama State University,Hornets,22,9,0
1999,Alabama State University,Hornets,13,15,0
1998,Alabama State University,Hornets,11,16,0
1997,Alabama State University,Hornets,11,17,0
1996,Alabama State University,Hornets,8,21,0
1995,Alabama State University,Hornets,9,18,0
1994,Alabama State University,Hornets,11,15,0
1993,Alabama State University,Hornets,19,10,0
1992,Alabama State University,Hornets,14,13,0
1991,Alabama State University,Hornets,14,14,0
1990,Alabama State University,Hornets,18,11,0
1989,Alabama State University,Hornets,15,13,0
1988,Alabama State University,Hornets,13,16,0
1987,Alabama State University,Hornets,8,20,0
1986,Alabama State University,Hornets,14,14,0
1985,Alabama State University,Hornets,11,17,0
1984,Alabama State University,Hornets,14,17,0
1983,Alabama State University,Hornets,22,6,0
1982,Alabama State University,Hornets,22,6,0
1981,Alabama State University,Hornets,22,6,0
1980,Alabama State University,Hornets,19,9,0
1979,Alabama State University,Hornets,32,2,0
1978,Alabama State University,Hornets,23,2,0
1977,Alabama State University,Hornets,0,0,0
1976,Alabama State University,Hornets,17,11,0
1975,Alabama State University,Hornets,19,8,0
1974,Alabama State University,Hornets,16,13,0
1973,Alabama State University,Hornets,19,9,0
1972,Alabama State University,Hornets,19,9,0
1971,Alabama State University,Hornets,22,3,0
1970,Alabama State University,Hornets,24,5,0
1969,Alabama State University,Hornets,17,10,0
1968,Alabama State University,Hornets,19,9,0
1967,Alabama State University,Hornets,18,7,0
1966,Alabama State University,Hornets,19,5,0
1965,Alabama State University,Hornets,18,6,0
1964,Alabama State University,Hornets,19,7,0
1963,Alabama State University,Hornets,16,10,0
2016,Alcorn State University,Braves,18,14,0
2015,Alcorn State University,Braves,15,15,0
2014,Alcorn State University,Braves,6,26,0
2013,Alcorn State University,Braves,12,19,0
2012,Alcorn State University,Braves,10,24,0
2011,Alcorn State University,Braves,10,22,0
2010,Alcorn State University,Braves,4,24,0
2009,Alcorn State University,Braves,2,29,0
2008,Alcorn State University,Braves,6,25,0
2007,Alcorn State University,Braves,7,24,0
2006,Alcorn State University,Braves,11,19,0
2005,Alcorn State University,Braves,8,20,0
2004,Alcorn State University,Braves,7,22,0
2003,Alcorn State University,Braves,11,18,0
2002,Alcorn State University,Braves,14,19,0
2001,Alcorn State University,Braves,21,10,0
2000,Alcorn State University,Braves,15,15,0
1999,Alcorn State University,Braves,19,10,0
1998,Alcorn State University,Braves,23,7,0
1997,Alcorn State University,Braves,12,15,0
1996,Alcorn State University,Braves,11,17,0
1995,Alcorn State University,Braves,10,15,0
1994,Alcorn State University,Braves,7,19,0
1993,Alcorn State University,Braves,3,24,0
1992,Alcorn State University,Braves,7,20,0
1991,Alcorn State University,Braves,15,14,0
1990,Alcorn State University,Braves,8,21,0
1989,Alcorn State University,Braves,7,22,0
1988,Alcorn State University,Braves,5,23,0
1987,Alcorn State University,Braves,8,21,0
1986,Alcorn State University,Braves,5,23,0
1985,Alcorn State University,Braves,16,13,0
1984,Alcorn State University,Braves,23,7,0
1983,Alcorn State University,Braves,21,10,0
1982,Alcorn State University,Braves,22,10,0
1981,Alcorn State University,Braves,22,8,0
1980,Alcorn State University,Braves,17,12,0
1979,Alcorn State University,Braves,28,2,0
1978,Alcorn State University,Braves,28,1,0
1977,Alcorn State University,Braves,22,7,0
1976,Alcorn State University,Braves,26,9,0
1975,Alcorn State University,Braves,27,4,0
1974,Alcorn State University,Braves,25,10,0
1973,Alcorn State University,Braves,29,6,0
1972,Alcorn State University,Braves,24,5,0
1971,Alcorn State University,Braves,14,10,0
1970,Alcorn State University,Braves,16,9,0
1969,Alcorn State University,Braves,16,9,0
1968,Alcorn State University,Braves,26,1,0
1967,Alcorn State University,Braves,24,3,0
1966,Alcorn State University,Braves,20,8,0
1965,Alcorn State University,Braves,21,8,0
1964,Alcorn State University,Braves,13,13,0
1963,Alcorn State University,Braves,13,12,0
1962,Alcorn State University,Braves,14,12,0
1961,Alcorn State University,Braves,25,10,0
1960,Alcorn State University,Braves,19,8,0
1959,Alcorn State University,Braves,18,13,0
1958,Alcorn State University,Braves,18,13,0
1957,Alcorn State University,Braves,19,15,0
1956,Alcorn State University,Braves,12,12,0
1955,Alcorn State University,Braves,8,16,0
1954,Alcorn State University,Braves,25,17,0
1953,Alcorn State University,Braves,21,22,0
1952,Alcorn State University,Braves,34,21,0
1951,Alcorn State University,Braves,32,9,0
1950,Alcorn State University,Braves,28,3,0
1949,Alcorn State University,Braves,22,5,0
1948,Alcorn State University,Braves,20,7,0
1947,Alcorn State University,Braves,16,7,0
1946,Alcorn State University,Braves,12,2,0
1944,Alcorn State University,Braves,2,4,0
2016,American University,Eagles,8,22,0
2015,American University,Eagles,12,19,0
2014,American University,Eagles,17,16,0
2013,American University,Eagles,20,13,0
2012,American University,Eagles,10,20,0
2011,American University,Eagles,20,12,0
2010,American University,Eagles,22,9,0
2009,American University,Eagles,11,20,0
2008,American University,Eagles,24,8,0
2007,American University,Eagles,21,12,0
2006,American University,Eagles,16,14,0
2005,American University,Eagles,12,17,0
2004,American University,Eagles,16,12,0
2003,American University,Eagles,18,13,0
2002,American University,Eagles,16,14,0
2001,American University,Eagles,18,12,0
2000,American University,Eagles,7,20,0
1999,American University,Eagles,11,18,0
1998,American University,Eagles,7,21,0
1997,American University,Eagles,9,19,0
1996,American University,Eagles,11,16,0
1995,American University,Eagles,12,15,0
1994,American University,Eagles,9,19,0
1993,American University,Eagles,8,19,0
1992,American University,Eagles,11,17,0
1991,American University,Eagles,11,18,0
1990,American University,Eagles,15,14,0
1989,American University,Eagles,20,9,0
1988,American University,Eagles,17,11,0
1987,American University,Eagles,14,14,0
1986,American University,Eagles,13,14,0
1985,American University,Eagles,10,18,0
1984,American University,Eagles,9,19,0
1983,American University,Eagles,6,22,0
1982,American University,Eagles,20,10,0
1981,American University,Eagles,21,9,0
1980,American University,Eagles,24,6,0
1979,American University,Eagles,13,14,0
1978,American University,Eagles,14,13,0
1977,American University,Eagles,16,12,0
1976,American University,Eagles,13,13,0
1975,American University,Eagles,9,16,0
1974,American University,Eagles,16,10,0
1973,American University,Eagles,16,10,0
1972,American University,Eagles,21,5,0
1971,American University,Eagles,16,8,0
1970,American University,Eagles,13,12,0
